Yoshiharu Habu
Yuki Sasaki
1,2,6,0,0,0
27,8,4,0,0,0
1,2,5,0,0,0
27,8,5,0,0,0
15,7,8,0,0,0
36,3,2,0,0,0
14,3,8,0,0,0
33,7,2,0,0,0
0,1,6,0,0,0
20,1,4,0,0,0
19,6,8,0,0,0
39,5,2,0,0,0
6,7,6,0,0,0
27,8,6,0,0,0
7,8,6,0,0,0
37,8,6,0,0,0
2,3,6,0,0,0
28,9,4,0,0,0
12,3,7,0,0,0
37,7,6,0,0,0
1,2,4,0,0,0
21,2,4,0,0,0
17,2,4,0,0,0
7,2,3,0,0,1
17,8,4,0,0,0
6,8,3,0,0,1
17,8,7,0,0,0
35,7,1,0,0,0
14,2,7,0,0,0
37,7,4,0,0,0
16,3,8,0,0,0
7,2,4,0,0,0
8,9,6,0,0,0
7,2,5,0,0,0
17,8,6,0,0,0
31,9,3,0,0,0
2,3,5,0,0,0
35,6,2,0,0,0
14,3,6,0,0,0
7,2,6,0,0,0
27,2,8,0,0,1
22,3,4,0,0,0
18,2,2,1,0,0
34,2,2,0,0,0
2,3,4,0,0,0
37,3,4,0,0,0
38,8,2,0,0,1
1,3,5,0,0,1
14,4,5,0,0,0
37,2,4,0,0,0
38,9,1,1,0,0
32,3,3,0,0,0
21,3,4,0,0,1
18,6,4,0,0,1
17,5,6,0,0,0
32,4,5,0,0,0
12,4,5,0,0,0
14,6,5,0,0,1
17,4,6,0,0,0
23,4,4,0,0,0
38,9,2,1,1,0
31,8,5,0,0,0
22,8,4,0,0,1
14,7,4,0,0,0
32,6,6,0,0,1
6,8,4,0,0,0
32,7,4,0,0,0
26,7,4,0,0,0
38,7,4,1,1,0
23,4,5,0,0,0
17,4,5,0,0,0
2,4,3,0,0,1
38,8,4,1,1,0
32,7,6,0,0,1
19,6,9,0,0,0
7,2,7,1,0,0
27,2,7,0,0,0
18,1,9,1,0,0
38,8,5,1,1,0
12,6,4,0,0,1
31,7,4,0,0,1
35,6,1,0,0,0
17,3,5,0,0,0
22,3,3,0,0,1
29,2,6,0,0,1
37,3,4,0,0,0
17,3,4,0,0,0
22,3,4,0,0,0
29,2,2,1,0,0
36,2,2,0,0,0
38,8,4,1,1,0
18,5,5,1,1,0
37,3,1,0,0,1
39,4,2,0,0,0
37,1,1,1,0,0
21,2,1,0,0,1
30,2,6,0,0,1
10,3,5,0,0,1
30,2,2,1,0,0
18,2,2,1,1,0
37,2,2,1,1,0
21,2,2,0,0,0
18,2,4,0,0,1
29,3,3,0,0,1
14,3,1,0,0,1
39,3,1,0,0,0
18,3,3,1,0,0
17,3,2,0,0,1
34,2,4,0,0,1
14,4,2,0,0,1
18,4,2,1,1,0
39,4,2,0,0,0
26,3,3,0,0,1
37,1,9,0,0,1
29,3,9,0,0,1
17,3,3,0,0,0
38,6,6,1,1,0
30,4,4,0,0,1
36,4,1,0,0,1
39,4,1,0,0,0
34,3,3,1,0,0
